"filename", "language", "GLSL", "C++", "XML", "CMake", "comment", "blank", "total"
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float3x2.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float3x2_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float3x3.hpp", "C++", 0, 7, 0, 0, 11, 6, 24
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float3x3_precision.hpp", "C++", 0, 11, 0, 0, 29, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float3x4.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float3x4_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float4x2.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float4x2_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float4x3.hpp", "C++", 0, 6, 0, 0, 8, 5, 19
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float4x3_precision.hpp", "C++", 0, 8, 0, 0, 17, 7, 32
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float4x4.hpp", "C++", 0, 7, 0, 0, 11, 6, 24
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_float4x4_precision.hpp", "C++", 0, 11, 0, 0, 29, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int2x2.hpp", "C++", 0, 10, 0, 0, 21, 8, 39
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int2x2_sized.hpp", "C++", 0, 17, 0, 0, 39, 15, 71
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int2x3.hpp", "C++", 0, 9, 0, 0, 18, 7, 34
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int2x3_sized.hpp", "C++", 0, 13, 0, 0, 27, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int2x4.hpp", "C++", 0, 9, 0, 0, 18, 7, 34
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int2x4_sized.hpp", "C++", 0, 13, 0, 0, 27, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int3x2.hpp", "C++", 0, 9, 0, 0, 18, 7, 34
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int3x2_sized.hpp", "C++", 0, 13, 0, 0, 27, 10, 50
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int3x3.hpp", "C++", 0, 10, 0, 0, 21, 8, 39
"/sgoinfre/goinfre/Perso/rdinis/CPPPhoneGameEngine/app/src/main/cpp/libs/glm/ext/matrix_int3x3_sized.hpp", "C++", 0, 17, 0, 0, 39, 15, 71
